,Year,cume,Country,Million tonnes of carbon dioxide
458,1967,6067.318260499236,Russian Federation,2120.7894650289263
459,1968,8240.170007921894,Russian Federation,2172.851747422657
460,1969,10493.676815694389,Russian Federation,2253.506807772497
461,1970,12831.024446553693,Russian Federation,2337.3476308593026
462,1971,15262.876349290695,Russian Federation,2431.8519027370025
463,1972,17813.393668514105,Russian Federation,2550.517319223412
464,1973,20473.892981184796,Russian Federation,2660.4993126706895
465,1974,23236.425709760886,Russian Federation,2762.532728576091
466,1975,26132.048329580695,Russian Federation,2895.6226198198083
467,1976,29122.06867523015,Russian Federation,2990.0203456494564
468,1977,32220.1147327877,Russian Federation,3098.0460575575503
469,1978,35415.796777704876,Russian Federation,3195.6820449171737
470,1979,38674.268660013244,Russian Federation,3258.471882308371
471,1980,41954.693797354565,Russian Federation,3280.42513734132
472,1981,45267.6683450835,Russian Federation,3312.9745477289302
473,1982,48644.41461661518,Russian Federation,3376.7462715316815
474,1983,52059.165490851534,Russian Federation,3414.7508742363566
475,1984,55533.8048940774,Russian Federation,3474.639403225866
476,1985,57706.20342887484,Russian Federation,2172.3985347974417
477,1986,59917.0081384969,Russian Federation,2210.8047096220566
478,1987,62185.337439089395,Russian Federation,2268.329300592493
479,1988,64477.100390158885,Russian Federation,2291.762951069489
480,1989,66767.17592286102,Russian Federation,2290.0755327021293
481,1990,69001.09646869075,Russian Federation,2233.920545829739
482,1991,71169.01709967092,Russian Federation,2167.920630980173
483,1992,73241.57988382094,Russian Federation,2072.562784150016
484,1993,75136.78890049175,Russian Federation,1895.2090166708115
485,1994,76863.06215347859,Russian Federation,1726.2732529868408
486,1995,78479.48027636885,Russian Federation,1616.4181228902548
487,1996,80042.42614067762,Russian Federation,1562.9458643087778
488,1997,81506.08133116907,Russian Federation,1463.6551904914493
489,1998,82951.38717153904,Russian Federation,1445.305840369964
490,1999,84397.20115139663,Russian Federation,1445.8139798575905
491,2000,85849.96420770235,Russian Federation,1452.76305630572
492,2001,87316.03689782147,Russian Federation,1466.072690119122
493,2002,88781.77214242515,Russian Federation,1465.7352446036766
494,2003,90276.44755065406,Russian Federation,1494.675408228921
495,2004,91766.43836418814,Russian Federation,1489.9908135340797
496,2005,93232.17233667946,Russian Federation,1465.7339724913086
497,2006,94768.8197428268,Russian Federation,1536.6474061473484
498,2007,96297.07166727992,Russian Federation,1528.251924453119
499,2008,97852.44040758559,Russian Federation,1555.3687403056585
500,2009,99298.98353945905,Russian Federation,1446.5431318734686
501,2010,100791.36830497041,Russian Federation,1492.3847655113675
502,2011,102350.1646936404,Russian Federation,1558.7963886699765
503,2012,103922.54389006409,Russian Federation,1572.3791964236868
504,2013,105461.29892243014,Russian Federation,1538.7550323660553
505,2014,107001.10115286258,Russian Federation,1539.8022304324536
506,2015,108508.09639247083,Russian Federation,1506.9952396082433
507,2016,110028.57130558767,Russian Federation,1520.47491311683
508,2017,111536.38908818488,Russian Federation,1507.817782597211
509,2018,113101.06209472331,Russian Federation,1564.6730065384318
510,2019,114649.90173053862,Russian Federation,1548.8396358153125
511,2020,116106.14941577143,Russian Federation,1456.2476852328182
512,2021,117687.48733715001,Russian Federation,1581.337921378577
513,1965,3451.8918551264583,US,3451.8918551264583
514,1966,7091.686859481017,US,3639.795004354559
515,1967,10829.848178387307,US,3738.161318906289
516,1968,14777.191637183234,US,3947.343458795928
517,1969,18894.587884022218,US,4117.396246838984
518,1970,23166.116015663254,US,4271.528131641036
519,1971,27475.18461667619,US,4309.068601012937
520,1972,32001.0153971073,US,4525.83078043111
521,1973,36740.477844183384,US,4739.462447076081
522,1974,41308.05775744665,US,4567.579913263271
523,1975,45694.85805389616,US,4386.80029644951
524,1976,50342.420834928555,US,4647.562781032393
525,1977,55133.75752803932,US,4791.3366931107685
526,1978,59967.45700219985,US,4833.69947416053
527,1979,64888.59968865414,US,4921.142686454286
528,1980,69630.97415279085,US,4742.3744641367075
529,1981,74227.1800784316,US,4596.205925640754
530,1982,78598.27429238662,US,4371.094213955015
531,1983,82930.39105340374,US,4332.116761017128
532,1984,87489.23261964736,US,4558.8415662436155
533,1985,92065.23924822621,US,4576.006628578851
534,1986,96663.42483862961,US,4598.185590403405
535,1987,101413.27837850821,US,4749.8535398785925
536,1988,106382.41661647944,US,4969.13823797123
537,1989,111440.49464875493,US,5058.078032275493
538,1990,116410.98646253363,US,4970.491813778704
539,1991,121333.60468571413,US,4922.618223180496
540,1992,126338.52597978963,US,5004.921294075497
541,1993,131456.0793042638,US,5117.553324474168
542,1994,136651.4680909728,US,5195.388786708998
543,1995,141879.3619196404,US,5227.89382866758
544,1996,147287.00093709637,US,5407.639017456006
545,1997,152770.02702260614,US,5483.026085509749
546,1998,158294.16614911376,US,5524.139126507642
547,1999,163868.30632669188,US,5574.140177578098
548,2000,169608.99093833653,US,5740.684611644673
549,2001,175259.65931953958,US,5650.66838120305
